"date_time","position","ep","tp","sl","outcome"
"2022-09-29 19:15:00","LONG",1341.22,1348.13,1334.93,"LOSS"
"2022-09-29 18:30:00","LONG",1336.93,1371.91,1323.03,"LOSS"
"2022-09-29 17:00:00","LONG",1326.38,1336.77,1302,"WIN"
"2022-09-29 11:15:00","LONG",1338.81,1343.86,1331.35,"WIN"
"2022-09-29 09:45:00","LONG",1348.34,1371.91,1336.77,"LOSS"
"2022-09-29 09:20:00","LONG",1342.03,1348.13,1334.93,"WIN"
"2022-09-29 09:00:00","LONG",1334.15,1353.78,1308.44,"LOSS"
"2022-09-28 20:15:00","LONG",1297.94,1305,1293.63,"WIN"
"2022-09-28 20:00:00","LONG",1297.89,1337.53,1252.26,"WIN"
"2022-09-28 14:55:00","SHORT",1277.69,1263.17,1352.2,"LOSS"
"2022-09-27 08:40:00","LONG",1339.74,1348.13,1334.93,"WIN"
"2022-09-27 07:30:00","LONG",1335.99,1353.78,1308.44,"WIN"
"2022-09-27 07:15:00","LONG",1334.86,1346.46,1313.3,"WIN"
"2022-09-27 02:50:00","LONG",1332.15,1339.31,1325.65,"LOSS"
"2022-09-27 02:30:00","LONG",1326.78,1336.77,1302,"WIN"
"2022-09-27 00:50:00","LONG",1322.91,1331.35,1317.07,"LOSS"
"2022-09-26 21:15:00","LONG",1314.97,1336.77,1302,"WIN"
"2022-09-26 20:20:00","LONG",1302.9,1308.36,1297.17,"WIN"
"2022-09-25 11:30:00","LONG",1326.22,1353.78,1308.44,"LOSS"
"2022-09-25 10:35:00","LONG",1321.51,1325.65,1311.81,"WIN"
"2022-09-25 03:15:00","LONG",1342.48,1355.45,1327.82,"LOSS"
"2022-09-24 20:35:00","LONG",1332.07,1339.31,1325.65,"WIN"
"2022-09-24 19:30:00","LONG",1328.21,1353.78,1308.44,"LOSS"
"2022-09-24 19:20:00","LONG",1329.5,1334.93,1322.17,"WIN"
"2022-09-24 19:15:00","LONG",1325.67,1336.77,1302,"WIN"
"2022-09-24 17:55:00","LONG",1326.73,1334.93,1322.17,"WIN"
"2022-09-24 17:15:00","LONG",1326.02,1336.77,1302,"WIN"
"2022-09-24 13:40:00","LONG",1328.58,1334.93,1322.17,"WIN"
"2022-09-24 12:45:00","LONG",1325.01,1336.77,1302,"WIN"
"2022-09-23 12:20:00","LONG",1343.01,1348.13,1334.93,"WIN"
"2022-09-23 11:30:00","LONG",1344.24,1355.45,1327.82,"WIN"
"2022-09-23 08:25:00","LONG",1331.99,1339.31,1325.65,"LOSS"
"2022-09-23 06:15:00","LONG",1320.73,1336.77,1302,"WIN"
"2022-09-23 02:30:00","LONG",1300.35,1323.03,1219.76,"WIN"
"2022-09-22 23:45:00","LONG",1273.49,1280.98,1263.17,"LOSS"
"2022-09-21 20:25:00","LONG",1351.27,1355.67,1343.86,"WIN"
"2022-09-20 23:00:00","LONG",1358.72,1393.1,1313.3,"WIN"
"2022-09-20 22:45:00","LONG",1349.75,1371.91,1336.77,"WIN"
"2022-09-20 22:30:00","LONG",1338.9,1371.91,1323.03,"WIN"
"2022-09-20 22:00:00","LONG",1342.51,1393.1,1313.3,"WIN"
"2022-09-20 21:45:00","LONG",1345.29,1352.2,1339.31,"LOSS"
"2022-09-20 13:00:00","LONG",1358.11,1387.06,1346.46,"LOSS"
"2022-09-20 09:30:00","LONG",1365.82,1387.06,1336.87,"LOSS"
"2022-09-20 03:30:00","LONG",1358.2,1387.06,1346.46,"WIN"
"2022-09-19 11:40:00","SHORT",1294.22998,1263.17,1352.2,"LOSS"
"2022-09-17 21:30:00","LONG",1424.55005,1470,1387.06,"WIN"
"2022-09-17 21:15:00","LONG",1424.44995,1436.94,1399.94,"WIN"
"2022-09-15 15:00:00","LONG",1605.39001,1632.84,1553.75,"WIN"
"2022-09-15 14:30:00","LONG",1589.96997,1606.45,1575.5,"WIN"
"2022-09-15 14:00:00","LONG",1598.58997,1632.84,1553.75,"WIN"
"2022-09-15 13:45:00","LONG",1601.47998,1623.59,1585.03,"LOSS"
"2022-09-14 22:30:00","LONG",1591.48999,1621.56,1577.36,"LOSS"
"2022-09-14 20:30:00","LONG",1602,1623.59,1585.03,"LOSS"
"2022-09-09 03:00:00","LONG",1626.71997,1664.11,1576.79,"WIN"
"2022-09-08 16:00:00","LONG",1609.63,1653.85,1593.96,"WIN"
"2022-09-06 05:00:00","LONG",1600.08997,1621.56,1577.36,"WIN"
"2022-09-06 04:45:00","LONG",1597.34998,1623.59,1585.03,"WIN"
"2022-09-05 22:00:00","LONG",1573.92004,1605.99,1529.83,"WIN"
"2022-09-05 10:30:00","LONG",1574.35999,1590.33,1538.47,"WIN"
"2022-09-05 07:45:00","LONG",1574.93005,1585.03,1552.63,"WIN"
"2022-09-04 17:00:00","LONG",1558.63,1577.36,1518.29,"WIN"
"2022-09-04 06:00:00","LONG",1553.95996,1605.99,1529.83,"WIN"
"2022-09-02 11:15:00","LONG",1603.16003,1627.28,1585.03,"LOSS"
"2022-09-02 11:00:00","LONG",1599.09998,1622.5,1562.7,"WIN"
"2022-09-02 03:00:00","LONG",1559.53003,1605.99,1529.83,"WIN"
"2022-09-02 02:30:00","LONG",1569.25,1603.01,1538.47,"WIN"
"2022-09-02 01:15:00","LONG",1544.63,1570.63,1496.39,"WIN"
"2022-09-01 18:00:00","LONG",1550.20996,1576.79,1506.59,"WIN"
"2022-09-01 17:30:00","LONG",1543.71997,1570.63,1496.39,"WIN"
